count,date
17817,2013-05-06
13380,2013-05-07
17900,2013-05-08
11990,2013-05-09
18515,2013-05-10
6120,2013-05-11
9264,2013-05-12
12629,2013-05-13
15378,2013-05-14
11576,2013-05-15
17231,2013-05-16
12830,2013-05-17
7333,2013-05-18
8283,2013-05-19
15924,2013-05-20
12100,2013-05-21
16359,2013-05-22
14770,2013-05-23
13542,2013-05-24
8238,2013-05-25
11071,2013-05-26
17581,2013-05-27
13436,2013-05-28
13555,2013-05-29
11768,2013-05-30
12901,2013-05-31
3698,2013-06-01
7205,2013-06-02
12809,2013-06-03
11861,2013-06-04
15373,2013-06-05
10811,2013-06-06
13164,2013-06-07
11417,2013-06-08
11163,2013-06-09
8488,2013-06-10
13325,2013-06-11
7293,2013-06-12
17765,2013-06-13
16658,2013-06-14
5164,2013-06-15
8998,2013-06-16
8093,2013-06-17
14494,2013-06-18
16804,2013-06-19
14729,2013-06-20
14450,2013-06-21
3322,2013-06-22
3206,2013-06-23
12594,2013-06-24
15064,2013-06-25
14563,2013-06-26
11289,2013-06-27
11150,2013-06-28
9673,2013-06-29
1721,2013-06-30
19427,2013-07-01
16108,2013-07-02
15988,2013-07-03
19125,2013-07-04
21085,2013-07-05
7832,2013-07-06
9602,2013-07-07
19372,2013-07-08
15054,2013-07-09
15887,2013-07-10
17394,2013-07-11
12163,2013-07-12
5034,2013-07-13
5118,2013-07-14
29866,2013-07-15
14781,2013-07-16
21857,2013-07-17
17221,2013-07-18
16804,2013-07-19
6214,2013-07-20
6532,2013-07-21
20552,2013-07-22
20040,2013-07-23
20663,2013-07-24
20274,2013-07-25
15002,2013-07-26
6785,2013-07-27
4330,2013-07-28
19055,2013-07-29
21882,2013-07-30
16409,2013-07-31
26653,2013-08-01
15436,2013-08-02
4090,2013-08-03
9496,2013-08-04
20285,2013-08-05
15243,2013-08-06
12219,2013-08-07
19569,2013-08-08
12942,2013-08-09
3553,2013-08-10
5486,2013-08-11
19994,2013-08-12
14112,2013-08-13
19984,2013-08-14
12787,2013-08-15
13706,2013-08-16
3884,2013-08-17
6146,2013-08-18
12332,2013-08-19
13679,2013-08-20
19607,2013-08-21
17957,2013-08-22
13181,2013-08-23
8091,2013-08-24
8633,2013-08-25
15349,2013-08-26
22084,2013-08-27
23664,2013-08-28
19637,2013-08-29
17725,2013-08-30
9600,2013-08-31
