 ,BETA,BOOK-TO-PRICE,EARNINGS YIELD,GROWTH,LEVERAGE,LIQUIDITY,MOMENTUM,NON-LINEAR SIZE,RESIDUAL VOLATILITY,SIZE
11-04-2017,0.2589,0.0664,0.0222,-0.0825,0.117,0.2239,-0.192,-0.0767,-0.009,-0.0845
10-04-2017,0.0096,0.6227,-0.125,-0.0403,0.0442,-0.3578,0.0796,0.157,-0.0206,0.5168
07-04-2017,0.0648,0.1155,0.0159,0.0517,-0.0129,-0.1682,-0.0551,-0.0366,0.0148,0.1796
06-04-2017,0.0423,-0.047,0.1098,-0.0447,0.053,0.0331,0.0002,-0.1898,0.0086,-0.0499
05-04-2017,0.5221,0.2202,0.0903,0.0413,0.0926,-0.0569,0.0062,-0.0536,0.1302,0.0397
31-03-2017,0.1129,0.0853,0.0033,0.115,-0.1121,-0.1881,0.1374,-0.0355,0.0623,0.1904
30-03-2017,-0.2752,0.104,0.0182,0.0432,0.0379,-0.0799,0.1697,0.0811,-0.2884,0.3
29-03-2017,-0.0594,0.4704,-0.2221,0.0421,0.1599,-0.2507,0.1345,0.0247,0.0812,0.3132
28-03-2017,-0.0677,0.1189,-0.0828,0.0375,0.002,-0.1494,-0.0316,-0.1908,0.0677,-0.0085
27-03-2017,-0.146,-0.0612,-0.0104,-0.0576,-0.1073,0.1792,-0.1368,-0.0031,-0.0152,-0.1122
24-03-2017,0.0449,0.0843,0.0051,-0.0166,0.0526,-0.0062,0.0513,-0.0952,-0.1396,0.1104
23-03-2017,0.0529,0.0658,0.0375,0.0996,-0.0138,-0.0707,0.0303,-0.0786,-0.0097,0.041
22-03-2017,-0.1079,-0.2791,0.119,0.0349,-0.0336,0.1762,0.2167,-0.0594,-0.1487,0.0371
21-03-2017,0.0124,-0.2518,0.2216,0.0518,-0.0611,0.0606,0.2777,-0.1335,-0.1104,0.0267
20-03-2017,-0.0077,-0.112,0.1661,-0.0751,-0.0513,0.0922,0.0197,-0.0872,-0.1692,-0.1833
17-03-2017,-0.1965,0.0786,-0.1222,-0.0242,0.0126,-0.2139,-0.0401,-0.0912,0.1349,-0.0909
